shabby	∫ǽbi
schlemiel	∫ləmíʒl
schlong	∫lɔʒŋ
schlocky	∫lάki
schlockmeister	∫lάkmàistər
schmalz	∫maʒlts
schmeck	∫mek
schmecker	∫mékər
shmendrik	∫méndrìk
schmear	∫miər
schmidt	∫mit
schmidtcamera	∫mit
schmo	∫mou
schmooze	∫muʒz
schmuck	∫mʌk
schmear	∫mλtə
schmotte	∫mλtə
schnaps	∫næps
schnauzer	∫nàuzər
schnitzel	∫nítsəl
schnorrer	∫nɔ́ʒrər
schnorkel	∫nɔ̀ʒrkəl
schnook	∫nuk
schneider	∫nάidər
schnozzle	∫nάzl
shew	∫ou
show	∫ou
showplace	∫óu∫àp
showbiz	∫óubiz
showboat	∫óubóut
showdown	∫óudάun
chauffeur	∫óufær
chauffeuse	∫oufə́ʒz
showfolk	∫óufòuk
chaudfroid	∫óufrwάʒ
showhow	∫óuhàu
showy	∫óui
showily	∫óuili
showing	∫óuiŋ
showcase	∫óukéis
shoal	∫oul
shoulder	∫óuldər
shouldered	∫óuldərd
shoulderpegged	∫óuldərpégd
shoulderpiece	∫óuldərpìʒs
shoaly	∫ouli
showman	∫óumən
showmanship	∫óumən∫ìp
showme	∫óumìʒ
shown	∫oun
shone	∫oun/∫ɔn
chopin	∫óupən
schopenhauer	∫óupənhàuər
showpiece	∫óupíʒs
showplace	∫óuplèis
shoat	∫out
shote	∫out
showtrial	∫óutràiəl
chauvinist	∫óuvinist
chauvinistic	∫óuvinistik
chauvinism	∫óuvinìzm
chose	∫ouz
showmanship	∫óuʒλmpiŋ
showthrough	∫óuθrúʒ
showup	∫óuλp
longshore	∫ɔ́ər
longshoreman	∫ɔ́ərmən
shortsheet	∫ɔ́ərt∫íʒt
shortday	∫ɔ́ərtdèi
shortening	∫ɔ́ərtəniŋ
shortish	∫ɔ́ərti∫
shortcoat	∫ɔ́ərtkòut
shortly	∫ɔ́ərtli
shortlist	∫ɔ́ərtlìst
shortness	∫ɔ́ərtnis
shortrange	∫ɔ́ərtréindʒ
shortrun	∫ɔ́ərtrλn
shortstaffed	∫ɔ́ərtstǽft
shortwaisted	∫ɔ́ərtwéistid
shortweight	∫ɔ́ərtwéit
shortarm	∫ɔ́ərtάərm
pshaw	∫ɔʒ
shaw	∫ɔʒ
shawl	∫ɔʒl
sciolto	∫ɔ́ʒltou
shore	∫ɔʒr
shore	∫ɔʒr
shore	∫ɔʒr
shoran	∫ɔ́ʒræn
shoreline	∫ɔ́ʒrlάin
shorn	∫ɔʒrn
short	∫ɔʒrt
shortshort	∫ɔ́ʒrt∫ɔ́ʒrt
shortbread	∫ɔ́ʒrtbréd
shortdated	∫ɔ́ʒrtdéitid
shortfall	∫ɔ́ʒrtfɔ́ʒl
shorthand	∫ɔ́ʒrthǽnd
shorthanded	∫ɔ́ʒrthǽndid
shorthorn	∫ɔ́ʒrthɔ́ʒrn
shorty	∫ɔ́ʒrti
shortage	∫ɔʒrtídʒ
shortage	∫ɔ́ʒrtidʒ
shortcake	∫ɔʒrtkéik
shortcoming	∫ɔ́ʒrtkλmiŋ
shorten	∫ɔ́ʒrtn
shortcircuit	∫ɔ́ʒrtsə́ʒrkit
shortspoken	∫ɔ́ʒrtspóukən
shortsighted	∫ɔ́ʒrtsάitid
shortchange	∫ɔ́ʒrtt∫éindʒ
shorttempered	∫ɔ́ʒrttémpərd
shortterm	∫ɔ́ʒrttə́ʒrm
shortwave	∫ɔ́ʒrtwéiv
shortwinded	∫ɔ́ʒrtwíndid
shoreward	∫ɔ́ʒrwərd
shrank	∫ræŋk
shrapnel	∫rǽpnəl
shroff	∫raf
shrike	∫raik
shrine	∫rain
shrive	∫raiv
shroud	∫raud
shred	∫red
shredder	∫rédər
shrift	∫rift
shrinkpack	∫ríkpæ̀k
shrill	∫ril
shrimp	∫rimp
shrimpboat	∫rímpbòut
shrink	∫riŋk
shrinkable	∫ríŋkəbl
shrinking	∫ríŋkiŋ
shrinkingly	∫ríŋkiŋli
shrinkwrap	∫ríŋkræ̀p
shrinkresistant	∫ríŋkrizístənt
shrivel	∫rivəl
shriven	∫rívən
shriek	∫riʒk
shrievalty	∫ríʒvəlti
shrove	∫rouv
shrovetide	∫róuvtάid
shrew	∫ruʒ
shrewd	∫ruʒd
shrewdie	∫rúʒdi
shrewish	∫rúʒi∫
shrewmouse	∫rúʒmάus
shrewsbury	∫rúʒzbəri
shrub	∫rʌb
shrug	∫rʌg
shrunk	∫rʌŋk
thriving	∫rάiviŋ
shrubby	∫rλbəri
shrunken	∫rλŋkən
shtetl	∫tetl
shtick	∫tik
shtup	∫tʌp
shouldst	∫udst
sure	∫uər
sure	∫uər
suretyship	∫úərəti∫ìp
surefire	∫úərfaiər
surefooted	∫úərfútid
sureenough	∫úərinʌf
surely	∫úərli
sugarless	∫úərlis
sureness	∫úərnis
surety	∫úərti
sugar	∫úgər
sugar	∫úgər
sugar	∫úgər
sugared	∫úgərd
sugaroholic	∫ùgərəhɔ́ʒlik
sugarhouse	∫ugərhàus
sugarhead	∫úgərhèd
sugary	∫úgəri
sugarcane	∫úgərkèin
sugarcoated	∫úgərkjùərd
sugarcoat	∫ugərkòut
sugarplum	∫ugərplλm
sugartit	∫ugərtìt
shook	∫uk
shookup	∫úkλp
shumnpeter	∫úmpeitər
schumpeter	∫ùmpeitər
schuss	∫us
schussboom	∫úsbùʒm
schussboomer	∫úsbùʒmər
chou	∫uʒ
shoe	∫uʒ
shoo	∫uʒ
shoeshine	∫úʒ∫άin
schubert	∫úʒbəʒrt
shoeblack	∫úʒblǽk
shoebrush	∫úʒbuλ∫
shoebox	∫uʒbάks
shoebuckle	∫uʒbλkl
shoofly	∫úʒflάi
shoogle	∫úʒgl
shoehorn	∫úʒhɔ́ʒrn
shooin	∫úʒín
shoelace	∫úʒléis
shoeless	∫úʒlis
schumann	∫úʒmaʒnʒ
shoemakker	∫úʒméikər
shoemaking	∫úʒmèikiŋ
schumanplan	∫úʒmən
sunyata	∫úʒnjʌtàʒ
shoon	∫uʒnʒ
shoestring	∫úʒstriŋ
chute	∫uʒt
shoot	∫uʒt
shooter	∫úʒtər
shooting	∫úʒtiŋ
chutistp	∫úʒtist
shootup	∫úʒtλp
schvartze	∫vάərtsə
schvartzertzer	∫vάərtsər
schweitzer	∫vάitsər
schweitzer	∫vάitsər
shush	∫ʌ∫
shuck	∫ʌk
shucks	∫ʌks
shun	∫ʌn
shun	∫ʌn
shunt	∫ʌnt
shut	∫ʌt
shuteye	∫ʌtài
shutterbug	∫ʌtbλg
shove	∫ʌv
schwa	∫waʒ
sharpener	∫άərənər
charlemagne	∫άərləmèin
charlotte	∫άərlət
charlatanism	∫άərlətənìzm
sharpish	∫άərpi∫
sharpiy	∫άərpli
sharpness	∫άərpnis
sharpnosed	∫άərpóuzd
sharpshooting	∫άərpʒùʒtiŋ
charlatanry	∫άərtnri
shier	∫άiər
shire	∫άiər
shyer	∫άiər
shylock	∫άilak
shily	∫άili
shyly	∫άili
shiny	∫άini
shining	∫άiniŋ
shyness	∫άinis
shicer	∫άisər
shyster	∫άistər
shockabsorbing	∫άkəbsɔ̀ərbiŋ
shocker	∫άkər
shockheaded	∫άkhédid
shocking	∫άkiŋ
shockingly	∫άkiŋli
shockproof	∫άkprúʒf
shockrock	∫άkrάk
shopper	∫άpər
shopgirl	∫άpgə́ʒrl
shopping	∫άpiŋ
shopkeeper	∫άpkíʒpər
shopkeeping	∫άpkíʒpiŋ
shoplifter	∫άplíftər
shopman	∫άpmən
shopsoiled	∫άpsɔ́ild
shoptalk	∫άptɔ́ʒk
shotput	∫άpút
shopwindow	∫άpwíndou
shopwalker	∫άpwɔ̀ʒkər
shophours	∫άpάuərz
shotproof	∫άtprúʒf
shotputter	∫άtpùtər
shower	∫άuər
showery	∫άuəri
shouter	∫άutər
shouting	∫άutiŋ
schadenfreude	∫άʒdənfrɔ́idə
schanze	∫άʒntsə
shastra	∫άʒstrə
shamanism	∫άʒʒmənízəm
schappe	∫άʒʒpə
sharkskin	∫άʒʒrkskín
sharpshooter	∫άʒʒrp∫úʒtər
sharpedged	∫άʒʒrpédʒd
sharpen	∫άʒʒrpən
sharper	∫άʒʒrpər
sharpeared	∫άʒʒrpíərd
sharpcut	∫άʒʒrpkλt
sharppointed	∫άʒʒrppɔ́intid
sharpset	∫άʒʒrpsét
sharpsighted	∫άʒʒrpsάitid
sharptongued	∫άʒʒrptλŋd
sharpwitted	∫άʒʒrpwítid
sharpeyed	∫άʒʒrpάid
sharebroker	∫έərbròukər
sharecropper	∫έərbròukər
shareholder	∫έərhóuldər
shudder	∫λdər
shuddering	∫λdəriŋ
shudderingly	∫λdəriŋli
shuffle	∫λfl
shuffleboard	∫λflbɔ́ʒrd
shuffler	∫λflər
shufty	∫λfti
shalwar	∫λlwaer
shunpike	∫λnpάik
shunter	∫λntər
shuntwound	∫λntwàund
shunpiker	∫λpàikər
shunpiking	∫λpàikiŋ
shutdown	∫λtdάun
shutter	∫λtər
shutin	∫λtin
shuttle	∫λtl
shuttlecock	∫λtlkàk
shuttlewise	∫λtwàiz
shutout	∫λtάut
shovel	∫λvəl
shovelbill	∫λvəlbìl
shovelboard	∫λvəlbɔ́ʒrd
shoveler	∫λvələr
shovelful	∫λvəlfùl
shover	∫λvər
shouthapenny	∫λvhéipəni
r	aːr
arterbody	aæftərbàdy
allegoristic	àæligɔʒrístik
lamplighter	aǽmplàitər
lancelet	aænslit
atavistic	àætəvístik
obdurability	àbdjuərəbíləti
objurgation	àbdʒərgéi∫ən
objectplate	àbdʒiktplèit
obduct	abdλkt
obfuscation	àbfəskéi∫ən
obfuscate	abfλskeit
oblation	abléi∫ən
obligee	àblədʒíʒ
obligation	àbləgéi∫ən
obligor	àbləgɔ́ʒr
obbligato	àbligάʒtou
obligato	àbligάʒtou
oblomovism	ablóuməvìzm
obsecration	àbsəkréi∫ən
obsolesce	àbsəlés
obsolescent	àbsəlésənt
obsolescence	àbsəlésns
obscuration	àbskjuəréi∫ən
obstetrician	àbstetrí∫ən
obstupefy	abstjúʒpəfài
obtestation	àbtestéi∫ən
obturation	àbtjuréi∫ən
obtruncate	abtrλŋkeit
obtund	abtλnd
obverse	abvə́ʒrs
obvert	abvə́ʒrt
obversion	abvə́ʒrʒən
obviosity	àbviάsəti
odd	ad
odyssean	àdəsíʒən
odds	adz
ash	æ∫
ash	æ∫
ashen	ǽ∫ən
asher	ǽ∫ər
ashy	ǽ∫i
ashkenazi	æ̀∫kənǽzi
ashkey	æ∫kìʒ
ashlaring	ǽ∫ləriŋ
ashman	ǽ∫mæ̀n
ashpan	ǽ∫pæ̀n
ashpale	ǽ∫péil
ashpit	ǽ∫pìt
ashtoreth	ǽ∫tərèθ
ashtray	ǽ∫trèi
asgarde	ǽagaʒrd
abampere	æbǽmpiər
abdomen	ǽbdəmən
abdication	æbdikéit
abdicate	ǽbdikèit
abjection	æbdʒék∫ən
abject	ǽbdʒekt
abjure	æbdʒúər
abduct	æbdλkt
abbe	æbéi
aberrant	æbérənt
abba	ǽbə
abigail	ǽbəgèil
abacus	ǽbəkəs
abolition	æ̀bəlí∫ən
abalone	æ̀bəlóuni
abomasum	æ̀bəméisəm
aberdevin	æ̀bərdəvάin
aberdeen	æ̀bərdíʒnʒ
aberdonian	æ̀bərdóuniən
aberration	æ̀bəréi∫ən
aboriginal	æ̀bərídʒənəl
aborigines	æ̀bərídʒnìʒz
abbacy	ǽbəsi
abyssinia	æ̀bəsíniə
abyssinian	æ̀bəsíniən
abbot	ǽbət
abattoir	æ̀bətwάʒr
abhor	æbhɔ́ʒr
abbey	ǽbi
abiogenesis	æ̀biodʒénəsis
abiochemistry	æ̀bioukémistri
abirritant	æbírətənt
abbess	ǽbis
ablation	æbléi∫ən
ablator	æbléitər
ablative	ǽblətiv
abnegate	ǽbnigèit
abnormal	æbnɔ́ʒrməl
abnormality	æbnɔ́ʒrməl
abovo	æbóuvou
abrogate	ǽbrəgèit
abrogator	ǽbrəgèitər
abrogation	ǽbrəgèitgéi∫ən
abrogative	æ̀brəgéitiv
abracadabra	æ̀brəkədǽbrə
abreaction	æ̀briǽk∫ən
abreact	æ̀briǽkt
abscess	ǽbses
abscessed	ǽbsessest
absalom	ǽbsələm
absolution	æ̀bsəlúʒ∫ən
absolute	ǽbsəlùʒt
absolutize	ǽbsəluʒtàiz
absolutist	ǽbsəlùʒtist
absolutism	ǽbsəlùʒtizm
absonant	ǽbsənənt
absence	ǽbsəns
absent	ǽbsənt
absentee	æ̀bsəntíʒ
absenteeism	æ̀bsəntíʒizm
absently	ǽbsəntli
absentminded	ǽbsəntmάindid
abscind	æbsínd
absinthe	ǽbsinθ
absinthism	ǽbsinθizəm
abscissa	æbsísə
absitomen	ǽbsitóumen
abscission	æbsíʒən
absquatulate	æbskwάt∫ulèit
abscond	æbskάnd
abscondence	æbskάndəns
absorbefacient	æbsɔ̀ʒrbəfei`∫ənt
abstracism	æbstækízəm
abstain	æbstéin
abstinence	ǽbstənəns
abstinent	ǽbstənənt
abstersion	æbstə́ʒr∫ən
absterge	æbstə́ʒrdʒ
abstergent	æbstə́ʒrdʒənt
abstersive	æbstə́ʒrsiv
abstemious	æbstíʒmiəs
abstraction	æbstræk∫ən
abstractionmonger	æbstrǽk∫ənmλŋgər
abstract	æbstrǽkt
abstracter	æbstrǽktər
abstracted	æbstrǽktid
abstractive	æbstrǽktiv
abstractly	æbstrǽktli
abractness	æbstrǽktnis
abstruse	æbstrúʒs
abscise	æbsάiz
abvolt	ǽbvoùlt
abwatt	ǽbwàt
ad	æd
add	æd
addax	ǽdæks
adaptometer	æ̀dæptάmətər
adynamic	æ̀dainǽmiə
addon	ǽdàn
addend	ǽdend
adept	ǽdept
addible	ǽdəbl
adelaide	ǽdəlèid
adolesce	æ̀dəlés
adolescence	æ̀dəlésəns
adolescent	æ̀dəlésnt
adaline	ǽdəlin
affirmation	ǽdəlrméi∫ən
adam	ǽdəm
adamantine	æ̀dəmǽntiʒnʒ
adamite	ǽdəmàit
adamancy	ǽdəmənsi
adamant	ǽdəmənt
adamism	ǽdəmìzm
adamsite	ǽdəmzàit
adonize	ǽdənàiz
adenauer	ǽdənàuər
adenectomy	æ̀dənéktəmi
adenyl	ǽdənìl
adenine	ǽdənìʒnʒ
adenocarcinoma	ǽdənoukàʒrsinóumə
adenoma	æ̀dənóumə
adenose	ǽdənòus
adenovirus	æ̀dənouvάirəs
adenoidectomy	æ̀dənɔidéktəmi
adenoidal	æ̀dənɔ́idl
adenoid	ǽdənɔ̀idz
adenoiditis	æ̀dənɔidάitis
adenitis	æ̀dənάitis
adipose	ǽdəpòus
adipocere	ǽdəpousìər
adaptation	æ̀dəptéi∫ən
adiposity	æ̀dəpάsəti
adder	ǽdər
adoration	æ̀dəréi∫ən
adirondack	æ̀dərάndæk
addison	ǽdəsn
adytum	ǽdətəm
additive	ǽdətiv
aditorial	æ̀dətɔ́ʒriəl
adfreeze	ædfríʒz
adhibit	ædhíbit
adhere	ædhíər
adherence	ædhíərəns
adherent	ædhíərənt
adhesive	ædhíʒsiv
adhesion	ædhíʒʒən
adhoc	ǽdhάk
adhocracy	ædhάkrəsi
addie	ǽdi
adiantum	æ̀diǽntəm
addedvalue	ǽdidvǽljuʒ
adage	ǽdidʒ
adiabatic	æ̀diəbǽtik
adequacy	ǽdikwəsi
adequate	ǽdikwit
adynamia	æ̀dinéimiə
adios	æ̀dióus
addisonian	æ̀disóuniən
adit	ǽdit
adcraft	ǽdkræ̀ft
addle	ǽdl
adland	ǽdlæ̀nd
adlib	ædlíb
adlibitum	ædlíbətəm
adless	ǽdlis
addlepated	ǽdlpèitid
adman	ǽdmæ̀n
admass	ǽdmæ̀s
admeasure	ædméʒər
admonition	æ̀dməní∫ən
adminicular	æ̀dmənníjulər
admiration	æ̀dməréi∫ən
admirable	ǽdmərəbəl
admiral	ǽdmərəl
admiralship	ǽdmərəl∫ìp
admiralty	ǽdmərəlti
admission	ædmí∫ən
admix	ædmíks
admixture	ædmíkst∫ər
admin	ǽdmin
administer	ædmínəstər
administration	ædmìnəstréi∫ən
administrate	ædmínəstrèit
administrative	ædmínəstrèitiv
adminicle	ædmínik
admissive	ædmísiv
admit	ædmít
admittance	ædmítəns
admetus	ædmíʒtəs
admire	ædmάiər
adnoun	ǽdnàun
adnate	ǽdneit
adnexa	ædnéksə
adnominal	ædnάməna
adperson	ǽdpə̀ʒrsn
adfat	ǽdræ̀t
adwriter	ǽdràitər
addressee	æ̀dresíʒ
adscititious	æ̀dsətí∫əs
adscription	ædskríp∫ən
adscript	ǽdskript
adsmith	ǽdsmìθ
adsorbent	ædsɔ́ərbənt
adsorbate	ædsɔ́ərbət
adsorption	ædsɔ́ərp∫ən
adsorptive	ædsɔ́ərptiv
adsorb	ædsɔ́ʒrb
adsum	ǽdsʌm
advantage	ædvǽntidʒ
advection	ædvék∫ən
advect	ædvékt
advent	ǽdvent
adventure	ædvént∫ər
adventist	ǽdventist
adventive	ædvéntiv
adventism	ǽdventìzm
advocator	ǽdvəkèitər
advocate	ǽdvəkit
advantageous	æ̀dvəntéidʒəs
adventitious	æ̀dvənti∫əs
adversary	ǽdvərsèri
adversaria	æ̀dvərsέəriə
adversarial	æ̀dvərsέəriəl
advertise	ǽdvərtàiz
advertiser	ǽdvərtàizər
advertorial	æ̀dvərtɔ́ʒriəl
advertisement	ǽdvərtάizmənt
adverb	ǽdvəʒrb
adverse	ædvə́ʒrs
adversity	ædvə́ʒrsəti
adversative	ædvə́ʒrsətiv
adversely	ædvə́ʒrsli
